code	product_name	energy_100g	proteins_100g	fat_100g	carbohydrates_100g	sugars_100g	energy-kcal_100g	saturated-fat_100g	salt_100g	sodium_100g	fiber_100g	fruits-vegetables-nuts-estimate-from-ingredients_100g	nutrition-score-fr_100g
0008346804221	Coconut caramel crunch meal replacement bar	753	15	10	24	1	180	5	0	0	13		
0008346804238	meal replacement bars	1369	27.272727272727	18.181818181818	43.636363636364	14.545454545455	327.27272727273	9.0909090909091	1.2272727272727	0.49090909090908	23.636363636364		
0008346804252	Meal Replacement Bar	1369	27.272727272727	18.181818181818	43.636363636364	16.363636363636	327.27272727273	7.2727272727273	1.5	0.6	21.818181818182		
0008346804269	Meal Replacement Bar - Peanut Butter	1369	27.272727272727	18.181818181818	43.636363636364	16.363636363636	327.27272727273	7.2727272727273	1.5	0.6	21.818181818182		
0008346804405	Snack Bar Mini Double Chocolate Mini	1339	32	16	44	0	320	8	1.4	0.56	24		
0008346804412	Double Chocolate Mint Crunch Snack Bar Minis	1339	32	16	44	16	320	8	1.4	0.56	24		
0008346861033	Slimfast	1609	11.538461538462	26.923076923077	50	3.8461538461538	384.61538461538	3.8461538461538	0.8173076923077	0.32692307692308	38.461538461538		
0008346861316													
0008346861330	Creamy chocolate mousse	1893	16.666666666667	33.333333333333	42.857142857143	7.1428571428571	452.38095238095	19.047619047619	0.6547619047619	0.26190476190476			
0008346861347	Diabetic Weight loss Meal Bar	1893	16.666666666667	33.333333333333	35.714285714286	7.1428571428571	452.38095238095	19.047619047619	0.6547619047619	0.26190476190476			
0008346861514	Peanut butter cup	2215	11.764705882353	47.058823529412	41.176470588235	5.8823529411765	529.41176470588	29.411764705882	0.22058823529412	0.088235294117648	17.647058823529		
0008346861545	Nutty Caramel & Chocolate Clusters	1674	10	30	50	5	400	15	0.1875	0.075	30		
0008346861552	Slimfast nutty caramel & chocolate clusters diabetic	1674	10	30	50	5	400	15	0.1875	0.075			
0008346874026	Fudge brownie batter optimal low-carb ketogenic nutrition meal shake	2096	21.11	39.58	23.75	0	501	21.11	1.45	0.58	5.3	0	
0008346874064	Slim fast keto	2291	23.054755043228	43.227665706052	23.054755043228	2.8818443804035	547.55043227666	23.054755043228	1.3688760806917	0.54755043227668			
0008346874101	Creamy coffee cappuccino optimal low-carb ketogenic nutrition meal shake mix	2109	21.22	39.79	23.87	2.65	504	21.22	1.1925	0.477	2.7	0	
0008346874507	SlimFast Keto Fat Bomb- Whipped PB & Choc	1893	16.666666666667	33.333333333333	35.714285714286	7.1428571428571	452.38095238095	16.666666666667	1.0119047619048	0.40476190476192	21.428571428571		
0008346874514	Whipped peanut butter chocolate meal bar	1891	16.67	33.33	35.71	7.14	452	16.67	0.775	0.31	21.4	0	14
0008346874521	Whipped peanut butter chocolate meal bars	1891	16.67	33.33	35.71	7.14	452	16.67	0.775	0.31	21.4	0	14
0008346874545	Fat Bomb	2132	16.666666666667	33.333333333333	35.714285714286	7.1428571428571	509.52380952381	19.047619047619	0.6547619047619	0.26190476190476	21.428571428571		
